month,decision,cash in yen,cash in dollar
0,,0,0
0,T110,-53220966.198942594,0
3,T110,-122446412.75808133,0
6,T110,-216227630.14364004,0
9,T110,-319334497.880262,-39125200660.69796
12,T110,-400615804.5783014,-39125200660.69796
15,T110,-512002266.2790768,-39125200660.69796
18,T110,-625117088.4329919,-39125200660.69796
21,T110,-737325550.6931138,-93295661443.89221
24,T110,-1196381347.5409894,-93295661443.89221
27,T110,-1648880372.403636,-93295661443.89221
30,T110,-2103504072.878701,-93295661443.89221
33,T110,-2230774467.1194935,-289028131637.77637
36,T110,-2340846110.665899,-289028131637.77637
39,T110,-2429332896.118846,-289028131637.77637
42,T110,-2511229094.9215684,-289028131637.77637
45,T110,-2594819416.8781357,-338932131823.0724
48,T110,-2650160575.5678253,-338932131823.0724
51,T110,-2688719408.4863753,-338932131823.0724
54,T110,-2726770981.1404824,-338932131823.0724
57,T110,-2741327445.604291,-359703861205.4007
60,T110,-2746564011.273608,-359703861205.4007
63,T110,-2771709994.806366,-359703861205.4007
66,T110,-2798631754.0587983,-359703861205.4007
69,T110,-2820473837.773047,-369733210226.3169
72,T110,-2844575593.8609934,-369733210226.3169
75,T110,-2877052992.958377,-369733210226.3169
78,T110,-2916184691.3966446,-369733210226.3169
81,T110,-2924632352.2950063,-381663301108.6866
84,T110,-2922456973.845666,-381663301108.6866
87,T110,-2895509211.1999164,-381663301108.6866
90,T110,-2860332270.073891,-381663301108.6866
93,T110,-2809030478.519012,-368716576014.52856
96,T110,-2758695723.394987,-368716576014.52856
99,T110,-2701955978.1705723,-368716576014.52856
102,T110,-2619815424.927863,-368716576014.52856
105,T100,-2479857156.346851,-334638037810.59296
108,T100,-2350971679.7967486,-334638037810.59296
111,T100,-2218280695.855449,-334638037810.59296
114,T100,-2062622034.1061301,-334638037810.59296
117,T100,-1925158691.186131,-273894777919.38867
120,T101,-1713441750.6003838,-273894777919.38867
123,T001,-1443673812.9327939,-273894777919.38867
126,T001,-1187543391.4623346,-273894777919.38867
129,T001,-922535422.7500327,-171254659290.52545
132,T001,-686857024.2192447,-171254659290.52545
135,T001,-449937127.7960848,-171254659290.52545
138,T101,-265495445.4461007,-171254659290.52545
141,T001,-67627307.42926323,-79715556981.45833
144,T001,79200296.7297853,-79715556981.45833
147,T001,198484967.70610443,-79715556981.45833
150,T001,292222181.73702735,-79715556981.45833
153,T001,383807076.23860335,-33501510139.025047
156,T001,460240538.37371516,-33501510139.025047
159,T001,537883296.9983156,-33501510139.025047
162,T001,603151675.5484456,-33501510139.025047
165,T001,677600276.3659142,-2043666515.5936966
168,T001,732209321.8259206,-2043666515.5936966
171,T001,780799760.2144389,-2043666515.5936966
174,T001,823699043.5029671,-2043666515.5936966
177,T001,864042267.668518,14824835964.490648
180,,887553531.5720099,14824835964.490648
183,,910686937.7007179,14824835964.490648
186,,936100942.922608,14824835964.490648
189,,965746368.144451,23142064057.872295
192,,996410207.690874,23142064057.872295
195,,1026734992.5404977,23142064057.872295
198,,1061116212.6348542,23142064057.872295
201,,1098711484.7832646,34262755462.434788
204,,1134967468.8270855,34262755462.434788
207,,1173832210.7613792,34262755462.434788
210,,1207057338.8190744,34262755462.434788
213,,1230770303.3784378,45815078423.46223
216,,1250231664.4115658,45815078423.46223
219,,1266315923.858281,45815078423.46223
222,,1280284825.536227,45815078423.46223
225,,1290725078.801057,50502738223.7774
228,,1299885523.9969845,50502738223.7774
231,,1308196498.1950371,50502738223.7774
234,,1314316551.9994075,50502738223.7774
237,,1320333068.613657,53035281730.65296
240,,1326268441.5622761,53035281730.65296
243,,1331213631.5980809,53035281730.65296
246,,1333961500.0331817,53035281730.65296
249,,1336314772.6219974,54564750747.925735
252,,1338434071.4770875,54564750747.925735
255,,1339816438.1546192,54564750747.925735
258,,1340757502.7619042,54564750747.925735
261,,1341367768.8185587,55082033904.3952
264,,1340964228.0648174,55082033904.3952
267,,1340964228.0648174,55082033904.3952
270,,1340964228.0648174,55082033904.3952
273,,1340964228.0648174,55043414550.68097
